message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=2.361582, y=11.120029])";"30";"turtlesim3.sim";"1696320704.474211359";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.368952, y=11.120029])";"30";"turtlesim3.sim";"1696320704.457907714";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.361582, y=11.120029])";"30";"turtlesim2.sim";"1696320704.457813824";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.376322, y=11.120029])";"30";"turtlesim3.sim";"1696320704.442543750";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.368952, y=11.120029])";"30";"turtlesim2.sim";"1696320704.441761040";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.361582, y=11.120029])";"30";"turtlesim1.sim";"1696320704.441600050";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.383691, y=11.120029])";"30";"turtlesim3.sim";"1696320704.425988375";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.368952, y=11.120029])";"30";"turtlesim1.sim";"1696320704.425740495";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.376322, y=11.120029])";"30";"turtlesim2.sim";"1696320704.425458705";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.391061, y=11.120029])";"30";"turtlesim3.sim";"1696320704.410334081";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.383691, y=11.120029])";"30";"turtlesim2.sim";"1696320704.410149201";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.376322, y=11.120029])";"30";"turtlesim1.sim";"1696320704.409343280";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.398431, y=11.120029])";"30";"turtlesim3.sim";"1696320704.394139836";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.383691, y=11.120029])";"30";"turtlesim1.sim";"1696320704.393931416";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.391061, y=11.120029])";"30";"turtlesim2.sim";"1696320704.393810806";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.405800, y=11.120029])";"30";"turtlesim3.sim";"1696320704.378403462";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.391061, y=11.120029])";"30";"turtlesim1.sim";"1696320704.377484531";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.398431, y=11.120029])";"30";"turtlesim2.sim";"1696320704.377464951";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.413170, y=11.120029])";"30";"turtlesim3.sim";"1696320704.362033127";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.405800, y=11.120029])";"30";"turtlesim2.sim";"1696320704.361992407";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.398431, y=11.120029])";"30";"turtlesim1.sim";"1696320704.361097757";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.420540, y=11.120029])";"30";"turtlesim3.sim";"1696320704.346459902";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.413170, y=11.120029])";"30";"turtlesim2.sim";"1696320704.345961922";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.405800, y=11.120029])";"30";"turtlesim1.sim";"1696320704.345707172";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.420540, y=11.120029])";"30";"turtlesim2.sim";"1696320704.330321938";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.427910, y=11.120029])";"30";"turtlesim3.sim";"1696320704.330178048";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.413170, y=11.120029])";"30";"turtlesim1.sim";"1696320704.329295987";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.427910, y=11.120029])";"30";"turtlesim2.sim";"1696320704.313919613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.420540, y=11.120029])";"30";"turtlesim1.sim";"1696320704.313862483";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.435279, y=11.120029])";"30";"turtlesim3.sim";"1696320704.313805143";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.435279, y=11.120029])";"30";"turtlesim2.sim";"1696320704.298295499";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=2.442649, y=11.120029])";"30";"turtlesim3.sim";"1696320704.297864198";"./src/turtle.cpp:update:260"
